Pos.,No.,Driver,Team,Time,Grid
1,5,Oliver Goethe,MP Motorsport,1:36.115,4
2,1,Leonardo Fornaroli,Invicta Racing,1:36.155,1
3,14,Victor Martins,ART Grand Prix,1:36.285,2
4,2,Roman Staněk,Invicta Racing,1:36.345,3
5,17,Alex Dunne,Rodin Motorsport,1:36.442,5
6,9,Sebastián Montoya,Prema Racing,1:36.741,6
7,3,Nikola Tsolov,Campos Racing,1:36.764,7
8,25,Rafael Villagómez,Van Amersfoort Racing,1:36.766,8
9,20,Joshua Dürksen,AIX Racing,1:36.773,9
10,6,Richard Verschoor,MP Motorsport,1:36.793,10
11,8,Dino Beganovic,HitechTGR,1:36.826,11
12,16,Martinius Stenshorne,Rodin Motorsport,1:36.887,12
13,24,John Bennett,Van Amersfoort Racing,1:37.034,13
14,10,Gabriele Minì,Prema Racing,1:37.039,14
15,11,Jak Crawford,DAMS Lucas Oil,1:37.172,15
16,15,Ritomo Miyata,ART Grand Prix,1:37.194,16
17,4,Arvid Lindblad,Campos Racing,1:37.317,17
18,7,Luke Browning,HitechTGR,1:37.334,18
19,21,Cian Shields,AIX Racing,1:38.098,19
20,12,Kush Maini,DAMS Lucas Oil,1:38.203,20
21,23,James Wharton,Trident,1:38.897,21
22,22,Laurens van Hoepen,Trident,1:39.033,22
