Pos.,No.,Driver,Team,Time,Grid
1,2,Roman Staněk,Invicta Racing,1:36.836,1
2,11,Jak Crawford,DAMS Lucas Oil,1:36.923,2
3,1,Leonardo Fornaroli,Invicta Racing,1:36.970,3
4,8,Dino Beganovic,HitechTGR,1:37.024,4
5,9,Sebastián Montoya,Prema Racing,1:37.040,5
6,5,Oliver Goethe,MP Motorsport,1:37.096,6
7,14,Victor Martins,ART Grand Prix,1:37.129,7
8,20,Joshua Dürksen,AIX Racing,1:37.152,8
9,3,Nikola Tsolov,Campos Racing,1:37.231,12
10,4,Arvid Lindblad,Campos Racing,1:37.247,9
11,17,Alex Dunne,Rodin Motorsport,1:37.329,10
12,6,Richard Verschoor,MP Motorsport,1:37.440,11
13,10,Gabriele Minì,Prema Racing,1:37.485,13
14,15,Ritomo Miyata,ART Grand Prix,1:37.568,14
15,24,John Bennett,Van Amersfoort Racing,1:37.611,15
16,25,Rafael Villagómez,Van Amersfoort Racing,1:37.613,16
17,7,Luke Browning,HitechTGR,1:37.620,17
18,16,Martinius Stenshorne,Rodin Motorsport,1:37.691,18
19,22,Laurens van Hoepen,Trident,1:37.740,19
20,12,Kush Maini,DAMS Lucas Oil,1:38.076,20
21,21,Cian Shields,AIX Racing,1:38.308,21
22,23,Tasanapol Inthraphuvasak,Trident,1:39.701,22
