Pos.,No.,Driver,Team,Time,Grid
1,16,Kush Maini,ART Grand Prix,1:39.888,1
2,1,Rafael Câmara,Invicta Racing,1:39.921,2
3,14,Martinius Stenshorne,Rodin Motorsport,1:39.938,3
4,15,Alex Dunne,Rodin Motorsport,1:40.057,9
5,9,Gabriele Minì,MP Motorsport,1:40.111,4
6,22,Nico Varrone,Van Amersfoort Racing,1:40.204,5
7,2,Joshua Dürksen,Invicta Racing,1:40.208,6
8,10,Oliver Goethe,MP Motorsport,1:40.216,7
9,24,Laurens van Hoepen,Trident,1:40.223,8
10,6,Nikola Tsolov,Campos Racing,1:40.265,10
11,7,Dino Beganovic,DAMS Lucas Oil,1:40.407,11
12,17,Tasanapol Inthraphuvasak,ART Grand Prix,1:40.456,12
13,5,Noel León,Campos Racing,1:40.461,13
14,4,Colton Herta,Hitech,1:40.473,14
15,25,John Bennett,Trident,1:40.552,15
16,12,Mari Boya,Prema Racing,1:40.554,16
17,3,Ritomo Miyata,Hitech,1:40.612,17
18,20,Emerson Fittipaldi Jr.,AIX Racing,1:40.634,18
19,23,Rafael Villagómez,Van Amersfoort Racing,1:40.674,22
20,11,Sebastián Montoya,Prema Racing,1:40.678,19
21,8,Roman Bilinski,DAMS Lucas Oil,1:40.798,20
22,21,Cian Shields,AIX Racing,1:41.157,21
