Pos.,No.,Driver,Team,Time,Grid
1,24,Laurens van Hoepen,Trident,1:21.422,1
2,1,Rafael Câmara,Invicta Racing,1:21.689,5
3,15,Alex Dunne,Rodin Motorsport,1:21.709,6
4,6,Nikola Tsolov,Campos Racing,1:21.734,2
5,14,Martinius Stenshorne,Rodin Motorsport,1:21.744,3
6,2,Joshua Dürksen,Invicta Racing,1:21.780,9
7,25,John Bennett,Trident,1:21.821,4
8,5,Noel León,Campos Racing,1:21.881,7
9,23,Rafael Villagómez,Van Amersfoort Racing,1:21.902,8
10,9,Gabriele Minì,MP Motorsport,1:21.971,10
11,20,Emerson Fittipaldi Jr.,AIX Racing,1:22.001,11
12,22,Nico Varrone,Van Amersfoort Racing,1:22.078,12
13,16,Kush Maini,ART Grand Prix,1:22.085,13
14,7,Dino Beganovic,DAMS Lucas Oil,1:22.207,14
15,8,Roman Bilinski,DAMS Lucas Oil,1:22.276,15
16,3,Ritomo Miyata,Hitech,1:22.356,16
17,21,Cian Shields,AIX Racing,1:22.445,17
18,11,Sebastián Montoya,Prema Racing,1:22.809,18
19,4,Colton Herta,Hitech,1:22.857,19
20,17,Tasanapol Inthraphuvasak,ART Grand Prix,1:22.871,—
21,10,Oliver Goethe,MP Motorsport,1:23.035,20
22,12,Mari Boya,Prema Racing,1:23.063,21
