Pos.,No.,Driver,Team,Time,Grid
1,1,Théophile Naël,Campos Racing,1:34.187,1
2,2,Ugo Ugochukwu,Campos Racing,1:34.208,2
3,5,Freddie Slater,Trident,1:34.269,3
4,11,Maciej Gładysz,ART Grand Prix,1:34.454,4
5,29,Nicola Lacorte,DAMS Lucas Oil,1:34.533,5
6,7,Mattia Colnaghi,MP Motorsport,1:34.547,6
7,10,Taito Kato,ART Grand Prix,1:34.612,7
8,21,James Wharton,Prema Racing,1:34.621,8
9,18,Brando Badoer,Rodin Motorsport,1:34.625,9
10,4,Noah Strømsted,Trident,1:34.638,10
11,15,Enzo Deligny,Van Amersfoort Racing,1:34.644,11
12,16,Bruno del Pino,Van Amersfoort Racing,1:34.648,12
13,20,Louis Sharp,Prema Racing,1:34.686,13
14,8,Tuukka Taponen,MP Motorsport,1:34.741,14
15,25,Jin Nakamura,Hitech,1:34.759,15
16,9,Alessandro Giusti,MP Motorsport,1:34.817,16
17,31,Gerrard Xie,DAMS Lucas Oil,1:34.860,17
18,24,Fionn McLaughlin,Hitech,1:34.874,18
19,17,Pedro Clerot,Rodin Motorsport,1:34.879,19
20,26,Brad Benavides,AIX Racing,1:34.933,20
21,19,Christian Ho,Rodin Motorsport,1:34.947,21
22,14,Hiyu Yamakoshi,Van Amersfoort Racing,1:34.955,22
23,3,Patrick Heuzenroeder,Campos Racing,1:35.156,23
24,22,José Garfias,Prema Racing,1:35.307,24
25,27,Yevan David,AIX Racing,1:35.731,25
26,12,Kanato Le,ART Grand Prix,1:35.795,26
27,23,Michael Shin,Hitech,1:35.820,27
28,30,Nandhavud Bhirombhakdi,DAMS Lucas Oil,1:36.161,28
29,28,Fernando Barrichello,AIX Racing,1:36.482,29
—,6,Matteo De Palo,Trident,2:01.735,30
