Driver,Year
Jehan Daruvala,2012
Jehan Daruvala,2013
Jehan Daruvala,2014
Jehan Daruvala,2015
Jehan Daruvala,2016
Jehan Daruvala,2017
Jehan Daruvala,2018
Steven Goldstein,2015
Alfonso Celis Jr.,2015
Alfonso Celis Jr.,2016
Alfonso Celis Jr.,2017
Nikita Mazepin,2016
Nikita Mazepin,2017
Nikita Mazepin,2018
Lucas Auer,2017
Nicholas Latifi,2018
