Driver,Year
Santino Ferrucci,2016
Santino Ferrucci,2017
Santino Ferrucci,2018
Arjun Maini,2017
Arjun Maini,2018
Louis Delétraz,2018
Louis Delétraz,2019
Louis Delétraz,2020
Pietro Fittipaldi,2019
Pietro Fittipaldi,2020
Pietro Fittipaldi,2021
Pietro Fittipaldi,2022
Pietro Fittipaldi,2023
Pietro Fittipaldi,2024
Pietro Fittipaldi,2025
Chloe Chambers,2024
Courtney Crone,2025
Kaylee Countryman,2026
