Alexander Rossi,2010
Alexander Rossi,2011
Matt Parry,2010
Matt Parry,2011
Weiron Tan,2011
Daim Hishamuddin,2011
Tanart Sathienthirakul,2011
Max Klinkby-Silver,2011
Senna Iriawan,2011
